Texto,Sentimiento,Fecha,Plataforma
Me encanta cómo Instagram conecta a la gente en RD,Positivo,2024-01-01,Instagram
TikTok es la red social más usada por los jóvenes dominicanos,Positivo,2024-01-02,TikTok
Facebook ya no se usa tanto como antes,Neutral,2024-01-03,Facebook
Las redes sociales ayudan a los negocios locales,Positivo,2024-01-04,Instagram
Mucho chisme y desinformación en redes sociales,Negativo,2024-01-05,Facebook
WhatsApp es esencial para comunicarse en RD,Positivo,2024-01-06,WhatsApp
Las redes sociales influyen en la opinión pública,Neutral,2024-01-07,Twitter
Twitter se usa más para noticias en el país,Neutral,2024-01-08,Twitter
Instagram es clave para el marketing digital,Positivo,2024-01-09,Instagram
Las redes sociales pueden ser muy tóxicas,Negativo,2024-01-10,Facebook
